day,revenue,Car
 ,0.08565555
AK,0.885835172
AL,0.331998138
AR,0.30856098
AZ,0.363969448
CA,0.793425629
CO,0.893349777
CT,0.489438398
DC,0.855618544
DE,0.336711859
FL,0.992246231
GA,0.955102048
HI,0.919522107
IA,0.307066575
ID,0.154005964
IL,0.558164096
IN,0.849155125
KS,0.056276851
KY,0.577733166
LA,0.466946855
MA,0.780696228
MD,0.814597085
ME,0.363369193
MI,0.518883716
MN,0.142429762
MO,0.948190963
MS,0.66895413
MT,0.601711454
NC,0.055452209
ND,0.177258542
NE,0.626476484
NH,0.289321604
NJ,0.862909569
NM,0.919585326
NV,0.631106432
NY,0.214342498
OH,0.78158565
OK,0.147195364
OR,0.16701591
PA,0.487273382
RI,0.971730438
SC,0.005508921
SD,0.432920776
TN,0.193379065
TX,0.12323389
UT,0.283636213
VA,0.163667035
VT,0.685865154
WA,0.932823405
WI,0.466592419
WV,0.047149303
WY,0.165244881
 ,0.716746711
AL,0.561331581
AZ,0.005973391
CA,0.163007606
CO,0.001346487
CT,0.682547877
DC,0.119831637
DE,0.762315443
FL,0.217244822
GA,0.892464158
HI,0.594651237
IA,0.584888479
IL,0.210013274
IN,0.709512661
KS,0.507958876
KY,0.940599529
LA,0.918824591
MA,0.344644254
MD,0.429004479
ME,0.007089328
MI,0.953855953
MN,0.493976506
MO,0.908923969
MS,0.854446537
NC,0.909850224
NE,0.633831226
NJ,0.825387082
NV,0.568964932
NY,0.786298063
OH,0.305070013
OK,0.463254495
OR,0.034726622
PA,0.292303534
RI,0.032332342
SC,0.73112385
TN,0.560179848
TX,0.210295297
UT,0.957813819
VA,0.916248784
VT,0.875318609
WA,0.808267779
WI,0.429613016
WV,0.221664892
WY,0.257116417
 ,0.556663348
AK,0.344588665
AL,0.628843648
AR,0.927292252
AZ,0.840819133
CA,0.41083166
CO,0.643688965
CT,0.534699986
DC,0.522729495
DE,0.879378594
FL,0.09102251
GA,0.261386558
HI,0.048853597
IA,0.875440358
ID,0.787426276
IL,0.955107516
IN,0.75719098
KS,0.199545118
KY,0.184951506
LA,0.12901063
MA,0.72025653
MD,0.417052174
ME,0.141026659
MI,0.086368904
MN,0.198981669
MO,0.917259429
MS,0.454023751
MT,0.868149023
NC,0.142187878
ND,0.358952321
NE,0.41588089
NH,0.874437486
NJ,0.487299961
NM,0.390437952
NV,0.408765638
NY,0.939228874
OH,0.625072159
OK,0.981415587
OR,0.649121237
PA,0.390251018
RI,0.471853257
SC,0.808492116
SD,0.798223508
TN,0.121146486
TX,0.891518861
UT,0.532093998
VA,0.252285197
VT,0.694681036
WA,0.518915101
WI,0.364551149
WV,0.426186409
WY,0.611564781
 ,0.739282381
AK,0.551389377
AL,0.696381125
AR,0.619761983
AZ,0.735686106
CA,0.354519639
CO,0.341834616
CT,0.314522503
DC,0.987616837
DE,0.804274554
FL,0.315565861
GA,0.840965821
HI,0.584722134
IA,0.75841879
ID,0.83300846
IL,0.271992529
IN,0.315172657
KS,0.402701086
KY,0.543972997
LA,0.44305395
MA,0.981967599
MD,0.272514563
ME,0.503601245
MI,0.213439045
MN,0.303854216
MO,0.072228983
MS,0.850734367
MT,0.632982974
NC,0.991729531
ND,0.385717358
NE,0.170710601
NH,0.707392968
NJ,0.898973784
NM,0.560490121
NV,0.433030538
NY,0.701904837
OH,0.559138154
OK,0.450273281
OR,0.370679291
PA,0.653324129
RI,0.896988118
SC,0.401772956
SD,0.838612106
TN,0.066586475
TX,0.111880087
UT,0.513473269
VA,0.436117148
VT,0.979152611
WA,0.802037008
WI,0.592568815
WV,0.904179528
WY,0.584720261
 ,0.715241987
AK,0.314824529
AL,0.414943003
AR,0.502898226
AZ,0.256841325
CA,0.737566529
CO,0.040501546
CT,0.607826598
DC,0.252329232
DE,0.482900404
FL,0.056072018
GA,0.091914385
HI,0.302657974
IA,0.548867056
ID,0.138879604
IL,0.714022898
IN,0.700380281
KS,0.113031973
KY,0.098544507
LA,0.967589858
MA,0.339115377
MD,0.176783215
ME,0.482757018
MI,0.056300144
MN,0.548601495
MO,0.321103253
MS,0.787038602
MT,0.593861147
NC,0.144640752
ND,0.58804661
NE,0.039424263
NH,0.131896537
NJ,0.512668141
NM,0.296155634
NV,0.414494181
NY,0.908149461
OH,0.328061378
OK,0.427928434
OR,0.33811326
PA,0.983278194
RI,0.807334482
SC,0.686337076
SD,0.633724511
TN,0.20333519
